Time,Humi,Irrad,Pres,Temp,WiDi,WiSp,Load_covered,Load_bought,Load_total,Generation_sold,Generation_used,Generation_total,Has_NaNs
2021-09-07 17:00:00+00:00,84.83333333333333,118.33333333333333,96140.83333333333,19.021666666666665,165.16666666666666,20.650000000000002,12.860833333333332,16.587500000000002,29.4475,0.06,12.860833333333332,12.92,False
2021-09-07 18:00:00+00:00,87.0,30.666666666666668,96153.5,18.43,164.0,21.116666666666667,3.3641666666666663,32.27583333333333,35.64083333333333,0.0,3.3641666666666663,3.3641666666666663,False
2021-09-07 19:00:00+00:00,89.33333333333333,0.0,96168.66666666667,17.995,163.83333333333334,19.650000000000002,0.03416666666666667,35.729166666666664,35.762499999999996,0.0,0.03416666666666667,0.03416666666666667,False
2021-09-07 20:00:00+00:00,92.33333333333333,0.0,96226.0,17.731666666666666,153.66666666666666,17.683333333333334,0.0,30.930833333333336,30.930833333333336,0.0,0.0,0.0,False
2021-09-07 21:00:00+00:00,94.83333333333333,0.0,96233.66666666667,17.55333333333333,153.5,19.46666666666667,0.0,21.093333333333334,21.093333333333334,0.0,0.0,0.0,False
2021-09-07 22:00:00+00:00,95.5,0.0,96222.66666666667,17.503333333333334,158.16666666666666,20.099999999999998,0.0,20.819166666666664,20.819166666666664,0.0,0.0,0.0,False
2021-09-07 23:00:00+00:00,95.66666666666667,0.0,96210.16666666667,17.466666666666665,159.83333333333334,19.150000000000002,0.0,20.699166666666667,20.699166666666667,0.0,0.0,0.0,False
2021-09-08 00:00:00+00:00,95.0,0.0,96192.83333333333,17.319999999999997,160.83333333333334,16.833333333333332,0.0,20.36916666666667,20.36916666666667,0.0,0.0,0.0,False
2021-09-08 01:00:00+00:00,94.66666666666667,0.0,96170.5,17.133333333333333,158.0,13.549999999999999,0.0,20.099999999999998,20.099999999999998,0.0,0.0,0.0,False
2021-09-08 02:00:00+00:00,97.16666666666667,0.0,96142.16666666667,17.22,160.66666666666666,15.049999999999999,0.0,20.309166666666666,20.309166666666666,0.0,0.0,0.0,False
2021-09-08 03:00:00+00:00,97.83333333333333,0.0,96118.33333333333,17.153333333333332,160.33333333333334,15.333333333333334,0.0,23.397499999999997,23.397499999999997,0.0,0.0,0.0,False
2021-09-08 04:00:00+00:00,97.83333333333333,0.0,96104.66666666667,17.111666666666668,162.0,16.150000000000002,0.0,39.928333333333335,39.928333333333335,0.0,0.0,0.0,False
2021-09-08 05:00:00+00:00,97.66666666666667,0.0,96104.5,17.081666666666667,162.5,16.75,0.0,42.6,42.6,0.0,0.0,0.0,False
2021-09-08 06:00:00+00:00,98.0,6.0,96122.66666666667,16.896666666666665,158.83333333333334,15.483333333333334,0.03,58.13333333333333,58.163333333333334,0.0,0.03,0.03,False
2021-09-08 07:00:00+00:00,97.0,52.833333333333336,96134.33333333333,16.955000000000002,161.0,17.8,5.423333333333333,66.83833333333334,72.26416666666667,0.0,5.423333333333333,5.423333333333333,False
2021-09-08 08:00:00+00:00,97.0,92.0,96169.0,16.918333333333333,162.83333333333334,14.6,10.14,68.55416666666666,78.69333333333334,0.0,10.14,10.14,False
2021-09-08 09:00:00+00:00,96.5,162.66666666666666,96227.33333333333,16.906666666666666,167.16666666666666,10.383333333333333,17.826666666666664,48.887499999999996,66.71333333333332,0.7475,17.826666666666664,18.575833333333332,False
2021-09-08 10:00:00+00:00,94.66666666666667,395.0,96268.5,18.53,172.33333333333334,5.566666666666666,42.615,40.096666666666664,82.71249999999999,0.6316666666666666,42.615,43.2475,False
2021-09-08 11:00:00+00:00,95.83333333333333,425.0,96290.33333333333,18.621666666666666,192.0,5.05,39.62416666666667,24.069999999999997,63.692499999999995,5.189166666666666,39.62416666666667,44.8125,False
2021-09-08 12:00:00+00:00,90.66666666666667,430.1666666666667,96300.83333333333,19.223333333333333,216.16666666666666,4.916666666666667,43.240833333333335,25.858333333333334,69.10083333333334,1.7391666666666667,43.240833333333335,44.98166666666666,False
2021-09-08 13:00:00+00:00,91.33333333333333,303.1666666666667,96308.33333333333,18.978333333333335,221.16666666666666,5.083333333333333,32.485,33.35666666666666,65.84166666666667,1.11,32.485,33.595,False
2021-09-08 14:00:00+00:00,92.5,371.1666666666667,96298.83333333333,18.646666666666665,198.66666666666666,4.816666666666666,37.015,17.82166666666667,54.837500000000006,3.6300000000000003,37.015,40.645833333333336,False
2021-09-08 15:00:00+00:00,86.5,287.0,96288.33333333333,19.153333333333332,205.0,5.183333333333334,29.49083333333333,9.031666666666666,38.5225,2.1308333333333334,29.49083333333333,31.620833333333334,False
2021-09-08 16:00:00+00:00,87.66666666666667,216.66666666666666,96296.5,18.786666666666665,195.66666666666666,4.316666666666666,23.22666666666667,12.659166666666666,35.88666666666666,0.09000000000000001,23.22666666666667,23.3175,False
2021-09-08 17:00:00+00:00,88.83333333333333,83.5,96317.5,18.521666666666665,184.16666666666666,3.3333333333333335,8.582500000000001,22.708333333333332,31.28833333333333,0.0,8.582500000000001,8.582500000000001,False
2021-09-08 18:00:00+00:00,91.66666666666667,36.666666666666664,96328.83333333333,18.073333333333334,183.83333333333334,3.016666666666667,3.8191666666666664,30.506666666666664,34.32583333333333,0.0,3.8191666666666664,3.8191666666666664,False
2021-09-08 19:00:00+00:00,97.83333333333333,0.0,96351.66666666667,17.028333333333332,179.5,3.6999999999999997,0.022500000000000003,35.04,35.0625,0.0,0.022500000000000003,0.022500000000000003,False
2021-09-08 20:00:00+00:00,97.0,0.0,96415.16666666667,16.958333333333332,182.83333333333334,2.5833333333333335,0.0,30.449166666666667,30.449166666666667,0.0,0.0,0.0,False
2021-09-08 21:00:00+00:00,94.66666666666667,0.0,96428.66666666667,17.041666666666668,163.83333333333334,5.433333333333334,0.0,20.640833333333333,20.640833333333333,0.0,0.0,0.0,False
2021-09-08 22:00:00+00:00,93.83333333333333,0.0,96431.33333333333,17.25,168.16666666666666,6.066666666666666,0.0,20.190833333333334,20.190833333333334,0.0,0.0,0.0,False
2021-09-08 23:00:00+00:00,94.0,0.0,96415.5,17.121666666666666,175.66666666666666,3.5666666666666664,0.0,19.951666666666664,19.951666666666664,0.0,0.0,0.0,False
2021-09-09 00:00:00+00:00,94.0,0.0,96416.33333333333,16.871666666666666,178.66666666666666,2.0,0.0,20.28,20.28,0.0,0.0,0.0,False
2021-09-09 01:00:00+00:00,94.83333333333333,0.0,96398.5,16.76,176.16666666666666,3.0833333333333335,0.0,19.980833333333333,19.980833333333333,0.0,0.0,0.0,False
2021-09-09 02:00:00+00:00,98.5,0.0,96394.16666666667,16.675,228.33333333333334,4.8500000000000005,0.0,20.220000000000002,20.220000000000002,0.0,0.0,0.0,False
2021-09-09 03:00:00+00:00,100.0,0.0,96394.33333333333,16.405,250.33333333333334,5.716666666666666,0.0,21.537499999999998,21.537499999999998,0.0,0.0,0.0,False
2021-09-09 04:00:00+00:00,100.0,0.0,96394.16666666667,16.393333333333334,239.83333333333334,1.6666666666666667,0.0,39.4475,39.4475,0.0,0.0,0.0,False
2021-09-09 05:00:00+00:00,100.0,0.0,96391.33333333333,16.118333333333336,119.16666666666667,2.1666666666666665,0.0,43.07749999999999,43.07749999999999,0.0,0.0,0.0,False
2021-09-09 06:00:00+00:00,99.83333333333333,4.5,96391.66666666667,16.135,102.83333333333333,2.066666666666667,0.0,51.77583333333333,51.77583333333333,0.0,0.0,0.0,False
2021-09-09 07:00:00+00:00,96.0,40.0,96420.5,16.513333333333332,183.0,3.25,3.65,66.20416666666667,69.85333333333334,0.0,3.65,3.65,False
2021-09-09 08:00:00+00:00,96.0,110.66666666666667,96437.66666666667,16.865,171.66666666666666,4.266666666666667,11.905833333333334,55.75083333333333,67.65666666666667,0.0,11.905833333333334,11.905833333333334,False
2021-09-09 09:00:00+00:00,92.5,235.0,96453.0,17.606666666666666,167.83333333333334,6.8,25.230833333333333,40.02,65.25,0.15,25.230833333333333,25.381666666666664,False
2021-09-09 10:00:00+00:00,92.66666666666667,233.0,96475.0,17.705000000000002,167.33333333333334,10.1,26.117499999999996,50.78916666666667,76.905,0.0,26.117499999999996,26.117499999999996,False
2021-09-09 11:00:00+00:00,93.33333333333333,149.33333333333334,96454.16666666667,17.54,169.66666666666666,8.416666666666666,16.845833333333335,56.465833333333336,73.3125,0.0,16.845833333333335,16.845833333333335,False
2021-09-09 12:00:00+00:00,92.83333333333333,366.3333333333333,96408.16666666667,17.481666666666666,168.5,14.933333333333332,38.29666666666667,31.313333333333333,69.6075,1.32,38.29666666666667,39.615833333333335,False
2021-09-09 13:00:00+00:00,95.5,136.66666666666666,96364.83333333333,17.108333333333334,165.5,17.283333333333335,15.014166666666666,52.65,67.66250000000001,0.0,15.014166666666666,15.014166666666666,False
2021-09-09 14:00:00+00:00,99.83333333333333,119.66666666666667,96368.16666666667,16.863333333333333,207.0,10.416666666666666,13.293333333333335,34.69166666666667,47.98416666666666,0.0,13.293333333333335,13.293333333333335,False
2021-09-09 15:00:00+00:00,100.0,147.66666666666666,96383.66666666667,16.825,238.83333333333334,10.0,17.048333333333336,23.6125,40.65916666666667,0.0,17.048333333333336,17.048333333333336,False
2021-09-09 16:00:00+00:00,100.0,99.66666666666667,96406.0,16.49833333333333,244.5,9.966666666666667,11.5375,22.7975,34.33416666666667,0.0,11.5375,11.5375,False
2021-09-09 17:00:00+00:00,100.0,67.33333333333333,96427.66666666667,16.733333333333334,247.16666666666666,5.916666666666667,7.554166666666667,22.41,29.963333333333335,0.0,7.554166666666667,7.554166666666667,False
2021-09-09 18:00:00+00:00,99.66666666666667,24.166666666666668,96469.33333333333,16.315,254.83333333333334,7.016666666666667,2.721666666666667,31.978333333333335,34.69916666666666,0.0,2.721666666666667,2.721666666666667,False
2021-09-09 19:00:00+00:00,99.0,0.0,96499.33333333333,16.025000000000002,250.5,5.45,0.01916666666666667,34.61833333333333,34.637499999999996,0.0,0.01916666666666667,0.01916666666666667,False
2021-09-09 20:00:00+00:00,99.66666666666667,0.0,96535.66666666667,15.916666666666666,242.5,2.6833333333333336,0.0,30.24083333333333,30.24083333333333,0.0,0.0,0.0,False
2021-09-09 21:00:00+00:00,100.0,0.0,96552.16666666667,15.746666666666668,234.33333333333334,1.5,0.0,19.773333333333333,19.773333333333333,0.0,0.0,0.0,False
2021-09-09 22:00:00+00:00,100.0,0.0,96561.16666666667,15.583333333333334,192.5,1.55,0.0,19.709999999999997,19.709999999999997,0.0,0.0,0.0,False
2021-09-09 23:00:00+00:00,100.0,0.0,96579.83333333333,15.325000000000001,189.33333333333334,1.7666666666666666,0.0,18.960833333333333,18.960833333333333,0.0,0.0,0.0,False
2021-09-10 00:00:00+00:00,100.0,0.0,96584.0,15.241666666666667,215.66666666666666,1.55,0.0,18.96,18.96,0.0,0.0,0.0,False
2021-09-10 01:00:00+00:00,100.0,0.0,96570.83333333333,15.216666666666667,204.83333333333334,1.1166666666666667,0.0,19.020833333333332,19.020833333333332,0.0,0.0,0.0,False
2021-09-10 02:00:00+00:00,100.0,0.0,96551.0,14.923333333333332,169.33333333333334,1.7833333333333332,0.0,18.719166666666666,18.719166666666666,0.0,0.0,0.0,False
